hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
https://www.agoda.com//kung-shang-design-hotel/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=d3e5f72f-b2c3-4722-b21c-7dccd1bb7783,https://pix8.agoda.net/hotelImages/255325/-1/7a7b125351c7aaa81f0b29fb33046f15.jpg?ca=9&ce=1&s=1024x768,Kung Shang Design Hotel,"No. 237, Linsen 1st Road, Sinsing District, Kaohsiung, Taiwan, 800 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Sinsing District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous The Dome of Light.  This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Front desk [24-hour],Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Kids club,Game room,Coffee shop,Safety deposit boxes",4,8.5Excellent,16791, 3000
https://www.agoda.com//zela-design-hotel/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=4f7dec7c-0310-48a2-856c-5f7320ce6a15,https://pix8.agoda.net/hotelImages/43390818/0/23e9d0591162845bd12656b10025f39e.jpg?ce=0&s=1024x768,Zela Design Hotel,"高雄市左營區新慶路20巷22號, Zuoying District, Kaohsiung, Taiwan, 813 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Zuoying District part of Kaohsiung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous The Dome of Light.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Front desk [24-hour],Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Car power charging station,Game room,Safety deposit boxes",3,9.4Exceptional,474,2768
https://www.agoda.com//single-inn-kaohsiung-linsen_2/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=36ca5822-82d3-452b-b361-c18d22981a0a,https://pix8.agoda.net/hotelImages/296361/-1/0aa08887097833d5f53f7be370f1480f.jpg?ca=7&ce=1&s=1024x768,Single Inn - Kaohsiung Linsen,"B1, No.267, Linsen 1st Rd.,, Sinsing District, Kaohsiung, Taiwan, 800 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Sinsing District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous The Dome of Light.  Massage, restaurant and hot tub are among the special facilities that will enhance your stay with on-site convenience. ","Front desk [24-hour],Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Hot tub,Sauna,Luggage storage,Fitness center",2.5,8.1Excellent,5377,466
"https://www.agoda.com//delton-hotel/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=9,16&los=7&searchrequestid=36ca5822-82d3-452b-b361-c18d22981a0a",https://pix8.agoda.net/hotelImages/255205/-1/8f283eefcb2172a607fae3e1871e616b.jpg?ce=0&s=1024x768,Delton Hotel,"No. 387, Anning Street, Sanmin District, Kaohsiung, Taiwan, 807 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Sanmin District part of Kaohsiung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous The Dome of Light.  Rated with 4 stars, this high-quality property provides guests with access to restaurant and fitness center on-site.","Front desk [24-hour],Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Fitness center,Laundry service,Restaurants,Room service",4,8.2Excellent,3228,1164
https://www.agoda.com//royal-group-hotel-central-park-branch/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=f8832594-a420-4feb-b6fa-ad9a87835cb6,https://pix8.agoda.net/hotelImages/443658/-1/d6edcfcc8308f1da03c2e365f5a8f0ee.jpg?ce=0&s=1024x768,Royal Group Hotel Central Park Branch,"No.15, Zhonghua 3rd Rd., Cianjin District, Kaohsiung, Taiwan ","Strategically situated in Cianjin District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous The Dome of Light. ","Front desk [24-hour],Free Wi-Fi in all rooms!,Luggage storage,Restaurants,Tours,Concierge,Wi-Fi in public areas,Currency exchange",2.5,8.5Excellent,2261, 1615
https://www.agoda.com//hsiangkelira-hotel/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=f8832594-a420-4feb-b6fa-ad9a87835cb6,https://pix8.agoda.net/hotelImages/290/290203/290203_15111016510037638961.jpg?ca=&ce=1&s=1024x768,Hsiangkelira Hotel,"No.208, Jianguo 2nd Rd., Sanmin District, Kaohsiung, Taiwan, 807 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Strategically situated in Sanmin District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous The Dome of Light.  As an added bonus, hot tub is provided on-site to conveniently serve your needs.","Bicycle rental,Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Hot tub,Spa,Check-in/out [express],Luggage storage",2.5,8.4Excellent,922,Not Found
https://www.agoda.com//watermark-hotel-kaohsiung-main-station/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=4f7dec7c-0310-48a2-856c-5f7320ce6a15,https://pix8.agoda.net/hotelImages/198/1985260/1985260_17032014230051632329.jpg?ca=6&ce=1&s=1024x768,Watermark Hotel - Kaohsiung Main Station,"No.437, Anning St., Sanmin District, Kaohsiung, Taiwan, 80757 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Sanmin District part of Kaohsiung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous The Dome of Light.  This 3-star property features restaurant to make your stay more indulgent and memorable.","Airport transfer,Bicycle rental,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Breakfast [free],Restaurants",3,8.7Excellent,6009,1849
https://www.agoda.com//legend-hotel-pier-2/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=d3e5f72f-b2c3-4722-b21c-7dccd1bb7783,https://pix8.agoda.net/hotelImages/127/1270823/1270823_17082101490055536178.jpg?ca=6&ce=1&s=1024x768,Legend Hotel Pier 2,"No.67, Wufu 4th Road,, Yancheng District, Kaohsiung, Taiwan, 803 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Yancheng District part of Kaohsiung, this property puts you close to attractions and interesting dining options. Be sure to set some time aside to visit The Dome of Light as well as Seaside Park nearby. This 3-star property features restaurant to make your stay more indulgent and memorable.","Free Wi-Fi in all rooms!,Front desk [24-hour],Luggage storage,Game room,Laundry service,Restaurants,Safety deposit boxes,Tours",3,9.0Exceptional,11826, 2557
https://www.agoda.com//hua-xiang-motel-da-liao/hotel/all/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=f8832594-a420-4feb-b6fa-ad9a87835cb6,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/110806163.jpg?k=3f164eed5bddd97da12e5af619fa0ef6381c08002f552ac9730151039602dd00&o=,Hua Xiang Motel - Da Liao,"No. 397, Sec. 3, Guangming Road, Daliao District, Kaohsiung, Taiwan, 831 ","Conveniently situated in the Daliao District part of Kaohsiung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Luggage storage,Laundry service,Restaurants,Wi-Fi in public areas,Family room",Not available,7.0Very good,186,Not Found
https://www.agoda.com//guide-hotel-kaohsiung-shinkuchan/hotel/kaohsiung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=f8832594-a420-4feb-b6fa-ad9a87835cb6,https://pix8.agoda.net/hotelImages/22236110/-1/855ca91d62a81e380d9013532ecf00fa.jpg?ce=0&s=1024x768,Guide Hotel Kaohsiung Shinkuchan,"新興區五福二路198號, Sinsing District, Kaohsiung, Taiwan, 800003 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Sinsing District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous The Dome of Light.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Airport transfer,Pets allowed,Free Wi-Fi in all rooms!,Check-in/out [express],Wi-Fi in public areas,Family room,Internet [LAN],Smoke-free property",3,8.4Excellent,785, 2515
