hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
"https://www.agoda.com//very-happy-homestay/hotel/all/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,16&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/403771225.jpg?k=5ef6e47befd4111d31ca2d62a65d12c0faa3b59fd887e971f52659c6857f88b0&o=,Very Happy Homestay,"Pingxi District, Taipei, Taiwan ","Conveniently situated in the Pingxi District part of Taipei, this property puts you close to attractions and interesting dining options.","Pets allowed,Car park,Shuttle service,Free Wi-Fi in all rooms!,Luggage storage,Restaurants,Wi-Fi in public areas,Smoke-free property",Not available,8.9Excellent,539,3067
"https://www.agoda.com//ruifang-yi-hostel/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,16&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f",https://pix8.agoda.net/hotelImages/6592340/-1/43869aaedbd59bb998ef41d6547574af.jpg?ca=8&ce=1&s=1024x768,Ruifang Yi Hostel,"Ruifang District, Taipei, Taiwan ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Ruifang District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101. ","Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Game room,Shared kitchen,Laundry service,Tours,Wi-Fi in public areas",Not available,9.0Exceptional,784,606
https://www.agoda.com//inhouse-hotel-yehliu/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=665ccf13-dfc5-4f67-b342-c5d6aa1e4e6a,https://pix8.agoda.net/hotelImages/686342/-1/b056a420c75b45e0a2d5c8133f8e6606.jpg?ca=7&ce=1&s=1024x768,Inhouse Hotel Yehliu,"No. 162-3, Gangdong Road, Wanli District, Taipei, Taiwan, 20744 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Wanli District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  Rated with 4 stars, this high-quality property provides guests with access to restaurant and fitness center on-site.","Front desk [24-hour],Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Fitness center,Kids club,Game room,Restaurants",4,8.7Excellent,8842,Not Found
"https://www.agoda.com//fc-hostel-ruifang-station/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=17,3,16&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f",https://pix8.agoda.net/hotelImages/12791437/-1/c8de5969f2efe5d9e3e05b2b1ba6b7d4.jpg?ce=0&s=1024x768,FC Hostel-Ruifang Station,"Ruifang District, Taipei, Taiwan ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Ruifang District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Free Wi-Fi in all rooms!,Luggage storage,Wi-Fi in public areas,Rental car,Lockers,Security [24-hour],Daily housekeeping,Smoke-free property",3,8.5Excellent,308,371
https://www.agoda.com//goodtime/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f,https://pix8.agoda.net/hotelImages/2071363/-1/10e305ae80c1eb03559ca131cb62e312.jpg?ca=7&ce=1&s=1024x768,goodtime,"Jiu Fen, Taipei, Taiwan ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Jiu Fen part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  As an added bonus, restaurant is provided on-site to conveniently serve your needs.","Airport transfer,Valet parking,Shuttle service,Free Wi-Fi in all rooms!,Game room,Front desk [24-hour],Check-in/out [express],Luggage storage",2,8.7Excellent,199,2221
"https://www.agoda.com//golden-house-ruifang-railway-station/hotel/all/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=6,16&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/469620879.jpg?k=c2a907c51b7aa2ebe4225574ffc36d5eee9de8ad29f5a38beeec9ffb7ac5fec6&o=,Golden House (Ruifang Railway Station),"No. 22-2, Zhongzhen Road, Jiu Fen, Taipei, Taiwan, 224 ","Conveniently situated in the Jiu Fen part of Taipei, this property puts you close to attractions and interesting dining options.","Free Wi-Fi in all rooms!,Luggage storage,Game room,Wi-Fi in public areas,Smoke-free property,First aid kit,Safety/security feature,CCTV outside property",Not available,9.1Exceptional,755,390
https://www.agoda.com//gwodoo-hotel/hotel/keelung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=9&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f,https://pix8.agoda.net/hotelImages/532/532455/532455_13093017150016715185.jpg?ca=2&ce=1&s=1024x768,Gwodoo Hotel,"No.13, Ln. 303, Ren 1st Rd., Keelung City Center, Keelung, Taiwan, 200 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Keelung City Center, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Keelung Night Market. ","Front desk [24-hour],Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Concierge,Wi-Fi in public areas,Family room,Daily housekeeping",2,6.0Good,331,970
https://www.agoda.com//sea-keelung/hotel/all/keelung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/298707688.jpg?k=4c0435b64ae5083b79159d3aaaee6b2187d619a345e8f0dccfdf086b5570f291&o=,Sea Keelung,"Keelung City Center, Keelung, Taiwan ","Conveniently situated in the Keelung City Center part of Keelung, this property puts you close to attractions and interesting dining options.","Free Wi-Fi in all rooms!,Check-in/out [express],Wi-Fi in public areas,Family room,Car park [nearby],Smoke-free property,Cashless payment service,Safety/security feature",Not available,7.1Very good,71,2556
"https://www.agoda.com//ruifang-travelers-backpackers-inn/hotel/all/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2,16&los=7&searchrequestid=6e2ddbfd-175c-4be6-8589-c9e76fd2c15f",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/263073388.jpg?k=0482aa1d65612ba3b9e0e55f090a02f15281d2a31b58637014529f3e572e1025&o=,瑞芳旅人自助背包客棧Ruifang Travelers Backpackers Inn- 不接受現金及刷卡 公共衛浴 需自備牙刷及毛巾,"Jiu Fen, Taipei, Taiwan ","Conveniently situated in the Jiu Fen part of Taipei, this property puts you close to attractions and interesting dining options.","Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Wi-Fi in public areas,Daily housekeeping,Smoke-free property,First aid kit,Hand sanitizer",Not available,7.8Very good,336,939
https://www.agoda.com//cozy-space-near-jiufen-elementary-school/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=665ccf13-dfc5-4f67-b342-c5d6aa1e4e6a,https://pix8.agoda.net/hotelImages/40436595/0/900b441a2ce34ce19c9b94976edd2d5f.jpg?ce=0&s=1024x768,Cozy space Near Jiufen Elementary School,"Jiu Fen, Taipei, Taiwan ","Conveniently situated in the Jiu Fen part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Cleaned following Agoda or health guidelines,Disinfected following Agoda or health guidelines,Cleaning products used based on health guidelines,Contactless check-in/check-out,Physical distancing rules followed,Refrigerator,Body wash",4,10Exceptional,2,2555
