hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
"https://www.agoda.com//happiness-romantic-b-b/hotel/all/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2,16,-1&los=7&searchrequestid=cc623997-5469-46ed-b666-8044dd91b467",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/178278985.jpg?k=8158bd46420891b45801fb3f22090eb0d53d2962547861fa2aeb07379a80ed52&o=,Happiness Romantic B&B,"Donggang, Pingtung, Taiwan ","Conveniently situated in the Donggang part of Pingtung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Cash withdrawal,Tours,Wi-Fi in public areas,Family room,Car park [nearby],Smoke-free property",Not available,9.0Exceptional,127,2169
https://www.agoda.com//bike-guesthouse/hotel/all/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=c9edfe18-12db-42aa-a08c-a0936685a732,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/164620506.jpg?k=0d19a53f8b04b8420584041b4f24a2e3107d73861750e6b543821cdea7c46681&o=,鐵騎休息棧,"Fangliao, Pingtung, Taiwan ","Conveniently situated in the Fangliao part of Pingtung, this property puts you close to attractions and interesting dining options.","Pets allowed,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Game room,Bicycles,Wi-Fi in public areas,Shared kitchen",Not available,8.7Excellent,522,476
"https://www.agoda.com//shanghai-homestay/hotel/all/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,8&los=7&searchrequestid=c9edfe18-12db-42aa-a08c-a0936685a732",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/456103215.jpg?k=2c7a7bd7783d053466c87ac5f2078b398cf39814ad5595f83a447510c3d4d20a&o=,上海民宿,"Chaozhou, Pingtung, Taiwan ","Conveniently situated in the Chaozhou part of Pingtung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Wi-Fi in public areas,Family room,Smoking area,Smoke-free property,Staff trained in safety protocol,CCTV outside property",Not available,9.3Exceptional,153,1237
https://www.agoda.com//bridgeside-homestay/hotel/all/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1&los=7&searchrequestid=cc623997-5469-46ed-b666-8044dd91b467,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/286202288.jpg?k=bc6e22bde5db20b4b5bab9f096f4d8541b4d0867f914373a9f1c9c469e95bd75&o=,Bridgeside Homestay,"Wandan Township, Pingtung, Taiwan ","Conveniently situated in the Wandan Township part of Pingtung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Game room,Wi-Fi in public areas,Family room,Smoke-free property,Body thermometer,Doctor/nurse on call",Not available,9.3Exceptional,292,1709
https://www.agoda.com//world-the-fun-fun/hotel/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=c9edfe18-12db-42aa-a08c-a0936685a732,https://pix8.agoda.net/hotelImages/29308581/0/83cc7ebb5be685558c855c50b198ece2.jpg?ca=25&ce=0&s=1024x768,World The Fun (窩樂Fun),"Gaoshu Township, Pingtung, Taiwan ","Get your trip off to a great start with a stay at this property, which offers car park free of charge. Conveniently situated in the Gaoshu Township part of Pingtung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Dapeng Bay National Scenic Area.  This 4-star property is packed with in-house facilities to improve the quality and joy of your stay.","Car park,Check-in [24-hour],Kitchen,Cleaning products used based on health guidelines,Face masks provided for guests,Hand sanitizer and soap provided,Cleaning supplies provided for guests,Physical distancing rules followed",4,9.6Exceptional,3,2882
https://www.agoda.com//dong-jhong-homestay/hotel/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=cc623997-5469-46ed-b666-8044dd91b467,https://pix8.agoda.net/hotelImages/14439100/0/eb9c17854995bfc9a4e1ff28c38c13f9.jpg?ce=0&s=1024x768,Dong Jhong Homestay 東中民宿 屏東縣民宿968號,"Donggang, Pingtung, Taiwan ","If you're looking for a private villa with car park free of charge, look no further. Conveniently situated in the Donggang part of Pingtung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Dapeng Bay National Scenic Area.  This 5-star property is packed with in-house facilities to improve the quality and joy of your stay.","Car park,Check-in [24-hour],Kitchen,Baby bath,Body wash",5,8.2Excellent,4,9501
https://www.agoda.com//h37500468/hotel/all/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=cc623997-5469-46ed-b666-8044dd91b467,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/428017305.jpg?k=ba65c23f984ab36acb3aeb44ab2d9ffb7161880d5328c8fa2df5fd3c80bb9bc6&o=,枋寮鳥窩窩,"Fangliao, Pingtung, Taiwan ","Conveniently situated in the Fangliao part of Pingtung, this property puts you close to attractions and interesting dining options.","Car park,Shuttle service,Free Wi-Fi in all rooms!,Contactless check-in/out,Wi-Fi in public areas,Family room,Shared kitchen,Smoke-free property",Not available,8.2Excellent,18,2157
https://www.agoda.com//fangliao-hotel/hotel/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=c9edfe18-12db-42aa-a08c-a0936685a732,https://pix8.agoda.net/hotelImages/3118775/-1/0aa4fd4125b43cd65f5a2cc5c10a0283.jpg?ca=7&ce=1&s=1024x768,Fangliao Hotel,"No.22-19,Zhongxing Rd, Fangliao, Pingtung, Taiwan, 94043 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Fangliao part of Pingtung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Dapeng Bay National Scenic Area.  Rated with 3 stars, this high-quality property provides guests with access to restaurant and outdoor pool on-site.","Bicycle rental,Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Swimming pool [outdoor],Luggage storage,Check-in/out [private],Breakfast [free]",3,9.2Exceptional,5785,3422
https://www.agoda.com//donggang-town-bed-and-breakfast/hotel/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=cc623997-5469-46ed-b666-8044dd91b467,https://pix8.agoda.net/hotelImages/783/783030/783030_14122817180024190747.jpg?ca=3&ce=1&s=1024x768,Donggang Town Bed and Breakfast,"No.7, Changchun 1st Rd.,, Donggang, Pingtung, Taiwan, 00928 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Donggang part of Pingtung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Dapeng Bay National Scenic Area. ","Airport transfer,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Breakfast [free],Wi-Fi in public areas,Family room,Smoking area",2.5,6.8Good,55,1224
https://www.agoda.com//dolphin-castle_2/hotel/pingtung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=c9edfe18-12db-42aa-a08c-a0936685a732,https://pix8.agoda.net/hotelImages/25804868/-1/e070ac11584d57213ae106ab8ac59527.jpg?ca=20&ce=0&s=1024x768,Dolphin Castle,"Donggang, Pingtung, Taiwan ","Conveniently situated in the Donggang part of Pingtung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Dapeng Bay National Scenic Area. ","Pets allowed,Car park,Shuttle service,Free Wi-Fi in all rooms!,Hot tub,Fitness center,Bicycles,Luggage storage",Not available,7.5Very good,594,433
