hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
https://www.agoda.com//wulai-sunglyu-spring-resort/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=d6421594-e47d-4946-84f9-73f788dcdb6f,https://pix8.agoda.net/hotelImages/125/1258750/1258750_16072113190044823884.jpg?ca=6&ce=1&s=1024x768,WULAI SungLyu Spring Resort,"No.35, Xiluo’an Rd., Wulai District, Taipei, Taiwan, 23341 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Wulai District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  Rated with 3 stars, this high-quality property provides guests with access to massage, restaurant and hot tub on-site.","Airport transfer,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Hot tub,Spa,Luggage storage,Breakfast [free]",3,7.7Very good,488,2857
https://www.agoda.com//gugis-inn/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=2c4184da-588d-47f6-94dc-6edb32d16838,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/480684963.jpg?k=ecdf8abfe63a0067d215edd345e86b5ebe224123a9d43190432b583a608c7f38&o=,Gugis Inn,"152 Section 1, Zhonghua Rd, Ximending, Taipei, Taiwan, 108 ","Strategically situated in Ximending, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Free Wi-Fi in all rooms!,Check-in/out [private],Wi-Fi in public areas,Daily housekeeping,Smoke-free property,First aid kit,Staff trained in safety protocol,Hot water linen and laundry washing",3,7.0Very good,1498, 2051
"https://www.agoda.com//surreal-motel_2/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,16&los=7&searchrequestid=b806b544-4c20-4b59-8952-1f5a1d4faea8",https://pix8.agoda.net/hotelImages/816/8168903/8168903_19062421180076778202.png?ca=9&ce=1&s=1024x768,surreal motel,"NO.187 Houngang 1st Rd.,xinzhuang dist, Xinzhuang District, Taipei, Taiwan, 24257 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Xinzhuang District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  Rated with 3 stars, this high-quality property provides guests with access to restaurant, steamroom and spa on-site.","Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Check-in/out [express],Sauna,Spa,Luggage storage,Breakfast [free]",3,8.7Excellent,3504, 2582
https://www.agoda.com//hotel-relax-v/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=aee05d21-e56d-4001-bcae-c427456d6ead,https://pix8.agoda.net/hotelImages/150/1507446/1507446_17061414150053678061.jpg?ca=6&ce=1&s=1024x768,Hotel Relax 5,"No. 20, Sec. 1, Chongqing S. Rd., Taipei Main Station, Taipei, Taiwan, 10046 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Taipei Main Station, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Front desk [24-hour],Airport transfer,Free Wi-Fi in all rooms!,Luggage storage,Safety deposit boxes,Tours,Wi-Fi in public areas,Lockers",3,8.7Excellent,6472, 2523
"https://www.agoda.com//inn-cube-taipei-main-station_3/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2,16&los=7&searchrequestid=da4e89ba-d3f6-4cb7-9ba8-d0ec34f3623d",https://pix8.agoda.net/hotelImages/261/2613238/2613238_17081513220055396849.jpg?ca=6&ce=1&s=1024x768,Inn Cube Taipei Main Station,"10F., No. 13, Gongyuan Rd., Taipei Main Station, Taipei, Taiwan, 10041 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Taipei Main Station, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Front desk [24-hour],Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Game room,Laundry service,Wi-Fi in public areas,Smoking area",3,8.1Excellent,3694,807
https://www.agoda.com//ximending-center5/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=ed2b4b9c-65e7-45e8-ae47-bd144c30e64a,https://pix8.agoda.net/hotelImages/5315963/0/1e72c2b3ff5acc123d07794b5b527d45.jpg?ca=7&ce=1&s=1024x768,Ximending Center5,"Ximending, Taipei, Taiwan ","Strategically situated in Ximending, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 4-star property features fitness center to make your stay more indulgent and memorable.","Fitness center,Elevator",4,6.8Good,2,4004
https://www.agoda.com//share-house-o2-mrt-2-min-super-large-room/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=2c4184da-588d-47f6-94dc-6edb32d16838,https://pix8.agoda.net/hotelImages/12000804/0/5534ad1926467dff0a4f6a503f04ebe5.jpg?ce=0&s=1024x768,END/B9,"Daan District, Taipei, Taiwan ","Strategically situated in Daan District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 5-star property is packed with in-house facilities to improve the quality and joy of your stay.","Elevator,Cleaned following Agoda or health guidelines,Disinfected following Agoda or health guidelines,Cleaning products used based on health guidelines,Cleaned by professional cleaning company,Hand sanitizer and soap provided,Physical distancing rules followed,Refrigerator",5,7.3Very good,2,24145
https://www.agoda.com//best-no-5-east-zone/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=aee05d21-e56d-4001-bcae-c427456d6ead,https://pix8.agoda.net/hotelImages/33924165/0/cc64dd04caed7f4ccf5becbfbcc0616c.jpg?ce=0&s=1024x768,endendend/B5,"Daan District, Taipei, Taiwan ","Strategically situated in Daan District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 5-star property is packed with in-house facilities to improve the quality and joy of your stay.","Elevator,Cleaned following Agoda or health guidelines,Disinfected following Agoda or health guidelines,Cleaning products used based on health guidelines,Cleaned by professional cleaning company,Physical distancing rules followed,Refrigerator,Body wash",5,9.6Exceptional,1,23713
https://www.agoda.com//goodmore-hotel-shi-da_4/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=da07bbdd-82b2-4da5-b348-bbf464919e3f,https://pix8.agoda.net/hotelImages/973591/-1/d3b076166dd796035d8cfb0de796395b.jpg?ca=8&ce=1&s=1024x768,Goodmore Hotel,"No.147, Sec. 1, Heping E. Rd.,, Daan District, Taipei, Taiwan, 10644 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Strategically situated in Daan District, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Front desk [24-hour],Airport transfer,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Tours,Concierge,Wi-Fi in public areas",3,8.3Excellent,3668,1818
https://www.agoda.com//purple-rainbow-motel/hotel/taipei-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=a4d23d20-f779-4673-9591-e4ce349b12e8,https://pix8.agoda.net/hotelImages/984/9847969/9847969_19100314190081777510.jpg?ca=9&ce=1&s=1024x768,Purple Rainbow Motel,"No. 367, Zhongzheng Rd., Luzhou Dist., New Taipei City, Luzhou District, Taipei, Taiwan, 24759 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Luzhou District part of Taipei, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taipei 101.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Check-in/out [express],Luggage storage,Bar,Room service,Wi-Fi in public areas",3,8.0Excellent,354,1954
