hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
"https://www.agoda.com//livehere-b-b/hotel/all/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2,16&los=7&searchrequestid=2dcbb69f-c87f-415a-8f6b-ce1505fb18c2",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/325360662.jpg?k=7c8b24ef8624c611a95d6410dee3cd3532d7d39a4c63caea781a85a62f65bd18&o=,築在這台東民宿1183,"No. 168, Min’an Street, Taitung City, Taitung, Taiwan, 950 ","Conveniently situated in the Taitung City part of Taitung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Check-in/out [private],Wi-Fi in public areas,Family room,Car park [nearby],Smoke-free property,First aid kit",Not available,9.0Exceptional,44,1472
https://www.agoda.com//la-tree/hotel/all/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=445e6a5d-a9fa-40d3-9068-745eab8e6644,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/433833564.jpg?k=4d3a0dd5bc96be90afac6abe60a9cffab0b300792e3d7c9978f510a1038a537e&o=,La Tree 普椿農場木子莊園,"No.20-5, Xingchang, , Donghe Township, Taitung, Taiwan, 959 ","Conveniently situated in the Donghe Township part of Taitung, this property puts you close to attractions and interesting dining options.","Car park,Shuttle service,Coffee shop,Laundry service,Smoke-free property,First aid kit,Free face masks,Meeting/banquet facilities",Not available,9.4Exceptional,13,4671
"https://www.agoda.com//taitung-chii-lih-resort/hotel/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=4,-1&los=7&searchrequestid=06ca747e-6248-4eeb-93b4-5e664c092ee7",https://pix8.agoda.net/hotelImages/119/1192852/1192852_16052315410042632831.jpg?ca=6&ce=1&s=1024x768,Taitung Chii Lih Resort,"No 260,Section 1, Zhonghua Road,, Luye Township, Taitung, Taiwan, 955 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Luye Township part of Taitung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taitung Forest Park.  Rated with 4 stars, this high-quality property provides guests with access to restaurant, hot tub and hot spring bath on-site.","Front desk [24-hour],Car park,Shuttle service,Free Wi-Fi in all rooms!,Swimming pool [indoor],Hot tub,Luggage storage,Car power charging station",4,8.3Excellent,2805,8007
https://www.agoda.com//sweet-home-in-taitung/hotel/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=54e3860a-0031-4e18-b8bb-025b10d34188,https://pix8.agoda.net/hotelImages/32735471/-1/805460a38c31c7f95d43cdf64557a426.jpg?ce=0&s=1024x768,Sweet Home in Taitung(台東的家民宿),"No. 16, Lane 805, Kaifung Street, 950 Taitung City, Taiwan, Taitung City, Taitung, Taiwan, 950 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Taitung City part of Taitung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taitung Forest Park.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Car park,Shuttle service,Free Wi-Fi in all rooms!,Contactless check-in/out,Bicycles,Coffee shop,Salon,Tours",3,9.2Exceptional,106,2498
https://www.agoda.com//taitung-tourist-inn/hotel/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=-1&los=7&searchrequestid=445e6a5d-a9fa-40d3-9068-745eab8e6644,https://pix8.agoda.net/hotelImages/2613844/-1/e95dd9585050810815fe1368fb7b916c.jpg?ca=7&ce=1&s=1024x768,Taitung Tourist Inn,"No. 167, Minan Street, Taitung City, Taitung, Taiwan, 950 ","Get your trip off to a great start with a stay at this property, which offers car park free of charge. Conveniently situated in the Taitung City part of Taitung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taitung Forest Park. ","Airport transfer,Bicycle rental,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Laundry service,Tours",Not available,8.3Excellent,856,989
https://www.agoda.com//3520-homestay/hotel/all/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2&los=7&searchrequestid=06ca747e-6248-4eeb-93b4-5e664c092ee7,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/47718169.jpg?k=03cd834a740aa049a7dd27d62c4e3ac6c9a4f03e582c97fa583d4f30031d767b&o=,3520 Homestay,"No. 38, Xinzhan 2nd Street, Taitung City, Taitung, Taiwan, 950 ","Conveniently situated in the Taitung City part of Taitung, this property puts you close to attractions and interesting dining options.","Shuttle service,Free Wi-Fi in all rooms!,Luggage storage,Check-in/out [private],Tours,Wi-Fi in public areas,Family room,Shared kitchen",Not available,9.3Exceptional,303,2490
https://www.agoda.com//dulan-the-travel-bug-bistro-inn/hotel/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=b9175035-70c8-4aa4-9877-3204c1513d2c,https://pix8.agoda.net/hotelImages/2311698/-1/61ced6340df415016910a828890f6553.jpg?ca=13&ce=1&s=1024x768,Dulan The Travel Bug Bistro Inn,"No.134, Doulan village, Donghe Toenship., Donghe Township, Taitung, Taiwan, 95941 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Donghe Township part of Taitung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taitung Forest Park. ","Pets allowed,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Breakfast [free],Game room,Bar",Not available,9.0Exceptional,1321,446
"https://www.agoda.com//mahengheng/hotel/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,16&los=7&searchrequestid=b9175035-70c8-4aa4-9877-3204c1513d2c",https://pix8.agoda.net/hotelImages/31259472/501815928/8bbee6207ab914e646fe77f2d71812ad.jpg?ce=0&s=1024x768,Ma Heng Heng Hostel,"15 Xinzhan Road, Taitung City, Taitung, Taiwan, 950 ","Conveniently situated in the Taitung City part of Taitung, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Taitung Forest Park.  This 3-star property is packed with in-house facilities to improve the quality and joy of your stay.","Pets allowed,Car park,Free Wi-Fi in all rooms!,Luggage storage,Check-in/out [private],Tours,Wi-Fi in public areas,Family room",3,9.2Exceptional,458,508
https://www.agoda.com//lanyu-my-home-b-b/hotel/all/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=4bf499a2-8e5e-41bd-9ff1-c4240de6b0e0,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/206405427.jpg?k=986eed16b7eb57f456ffb3c29e87ef1e91ff4efbd3cf1b309ff151a4baa0ff48&o=,Lanyu My Home B&B,"No. 9-6, Langdao Village, Lanyu Township, Taitung, Taiwan, 952 ","Conveniently situated in the Lanyu Township part of Taitung, this property puts you close to attractions and interesting dining options.","Airport transfer,Car park,Shuttle service,Free Wi-Fi in all rooms!,Wi-Fi in public areas,Rental car,Beach,Car park [nearby]",Not available,8.5Excellent,260,1823
"https://www.agoda.com//knt-house/hotel/all/taitung-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=2,16&los=7&searchrequestid=54e3860a-0031-4e18-b8bb-025b10d34188",https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/140671774.jpg?k=dece589db71d0708824ecc4b8193b964c5512a0ded0e87cb9ab5680af35e95ab&o=,Knt House,"No. 2-3, Xincun Road, Chenggong Township, Taitung, Taiwan, 96144 ","Conveniently situated in the Chenggong Township part of Taitung, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,BBQ facilities,Luggage storage,Private beach,Wi-Fi in public areas,Family room,Daily housekeeping",Not available,8.8Excellent,136,2099
