hyperlink,img,Hotel Name,Location,description,Facilities,Star Rating,Review,Review Number,Price
https://www.agoda.com//shangrila-boutique-hotel/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=c8d6b64d-06eb-43bf-96c1-0511d303b64e,https://pix8.agoda.net/hotelImages/290/290160/290160_15061815470029932786.jpg?ca=4&ce=1&s=1024x768,Shangrila Boutique Hotel,"No.15, Gongyuan 2nd Rd, Wujie Township, Yilan, Taiwan, 268 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Strategically situated in Wujie Township, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  Rated with 4 stars, this high-quality property provides guests with access to restaurant, hot spring bath and spa on-site.","Front desk [24-hour],Airport transfer,Bicycle rental,Car park,Spa,Hot tub,Shuttle service,Free Wi-Fi in all rooms!",4,8.3Excellent,1241,3012
"https://www.agoda.com//sweet-sugar-bed-and-breakfast/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1,16,-1&los=7&searchrequestid=c8d6b64d-06eb-43bf-96c1-0511d303b64e",https://pix8.agoda.net/hotelImages/856103/-1/98814a9cc8df855f242a3debb25af631.jpg?ce=0&s=1024x768,Sweet Sugar Bed and Breakfast,"No.165, Yuemei Rd., Luodong Township, Yilan, Taiwan, 26561 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Strategically situated in Luodong Township, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  As an added bonus, restaurant is provided on-site to conveniently serve your needs.","Bicycle rental,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Breakfast [free],Restaurants,Tours",2.5,9.2Exceptional,686,2066
https://www.agoda.com//hotel-les-champs/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=45197ce7-79d1-4b88-a7c7-d31591a6ff0c,https://pix8.agoda.net/hotelImages/256/256176/256176_15061215570029406877.jpg?ca=4&ce=1&s=1024x768,Hotel Les Champs,"No 6, Section 6, Jiaoxi Road, Jiaoxi Township, Yilan, Taiwan, 262 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Jiaoxi Township part of Yilan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  Rated with 4 stars, this high-quality property provides guests with access to restaurant, hot tub and hot spring bath on-site.","Front desk [24-hour],Car park,Free Wi-Fi in all rooms!,Luggage storage,Swimming pool [outdoor],Hot tub,Spa,Game room",4,8.2Excellent,5394,2520
"https://www.agoda.com//green-resort/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=9,16&los=7&searchrequestid=78513206-d925-48e6-a7dd-9c1b1e5459d2",https://pix8.agoda.net/hotelImages/816/8169577/8169577_19061721040076000113.jpg?ca=9&ce=1&s=1024x768,Green Resort,"No.18, Lane 98, Gongyuan Road., Wujie,, Wujie Township, Yilan, Taiwan, 26866 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Strategically situated in Wujie Township, allowing you access and proximity to local attractions and sights. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  Restaurant and hot tub are among the special facilities that will enhance your stay with on-site convenience. ","Car park,Free Wi-Fi in all rooms!,Check-in/out [express],BBQ facilities,Hot tub,Swimming pool [outdoor],Luggage storage,Breakfast [free]",Not available,9.1Exceptional,439,3283
https://www.agoda.com//issmy-hotel-spring-resort_4/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=9&los=7&searchrequestid=78513206-d925-48e6-a7dd-9c1b1e5459d2,https://pix8.agoda.net/hotelImages/4991659/-1/76e13f2ccf3d014155da5ca6a8ea2b1d.jpg?ca=7&ce=1&s=1024x768,Issmy Hotel Spring Resort,"No.72, Ln.97, Zhongxiao Rd., Jiaoxi Township, Yilan, Taiwan, 26241 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Jiaoxi Township part of Yilan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  Rated with 3 stars, this high-quality property provides guests with access to massage, restaurant and hot tub on-site.","Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Luggage storage,Hot tub,Coffee shop,Restaurants,Tours",3,7.2Very good,251,2583
"https://www.agoda.com//veggie-papa-bed-and-breakfast/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=9,-1&los=7&searchrequestid=ec6c9047-eef1-40d6-a7a5-942adc6702b7",https://pix8.agoda.net/hotelImages/872/872695/872695_15071516560032377577.jpg?ca=4&ce=1&s=1024x768,Veggie Papa Bed and Breakfast,"103-5 十六結路, Jiaoxi Township, Yilan, Taiwan, 262 ","The car parking and the Wi-Fi are always free, so you can stay in touch and come and go as you please. Conveniently situated in the Jiaoxi Township part of Yilan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Jimi Square - Yilan Station.  Restaurant and outdoor pool are among the special facilities that will enhance your stay with on-site convenience. ","Bicycle rental,Car park,Free Wi-Fi in all rooms!,Check-in/out [express],Luggage storage,Swimming pool [outdoor],Coffee shop,Restaurants",2,8.6Excellent,72,3160
https://www.agoda.com//sioufu-b-b/hotel/all/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=1&los=7&searchrequestid=78513206-d925-48e6-a7dd-9c1b1e5459d2,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/245289985.jpg?k=c652aa6ebde1e0c61dca874008e02adde794c55aac9a11d2dafab1160af446b5&o=,Sioufu B&B,"No. 8, Lane 5, Sanjie 3rd Road , Wujie Township, Yilan, Taiwan, 268 ","Conveniently situated in the Wujie Township part of Yilan, this property puts you close to attractions and interesting dining options.","Free Wi-Fi in all rooms!,Wi-Fi in public areas,Family room,Smoke-free property,Hand sanitizer,Staff trained in safety protocol,Shared stationery removed,Breakfast in room",Not available,9.3Exceptional,104,1719
https://www.agoda.com//riversidevilla/hotel/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&tspTypes=16&los=7&searchrequestid=78513206-d925-48e6-a7dd-9c1b1e5459d2,https://pix8.agoda.net/hotelImages/257/2574386/2574386_17081510390055392726.jpg?ca=6&ce=1&s=1024x768,RiversideVilla,"No.11, Aly. 72, Ln. 180, Sec. 1, Qinhe Rd.,, Wujie Township, Yilan, Taiwan, 26841 ","Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Wujie Township part of Yilan, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Jimi Square - Yilan Station. ","Free Wi-Fi in all rooms!,Wi-Fi in public areas,Security [24-hour],Smoke-free property,Non-smoking rooms,English,Chinese [Mandarin]",Not available,8.8Excellent,236,2192
https://www.agoda.com//immanuel-b-b/hotel/all/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=ec6c9047-eef1-40d6-a7a5-942adc6702b7,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/106150870.jpg?k=c369a3a3d555e6f5eed3080382b9b615a337975f6d37d9ccdf9ffa4852d9a83c&o=,Immanuel B&B,"No. 5, Lane 133, Beitou Street, Luodong Township, Yilan, Taiwan, 265 ","Conveniently situated in the Luodong Township part of Yilan, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Luggage storage,Check-in/out [private],Tours,Wi-Fi in public areas,Family room,Smoke-free property",Not available,9.1Exceptional,221, 1910
https://www.agoda.com//h38349328/hotel/all/yilan-tw.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1891473&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2024-06-8&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=3&showReviewSubmissionEntry=false&currencyCode=TWD&isFreeOccSearch=false&tag=a7b18665-a99b-a319-1ff1-fb95c7d3fe4a&los=7&searchrequestid=c71c4775-c8ae-4d15-ae8c-3d9afc033ea7,https://q-xx.bstatic.com/xdata/images/hotel/max1024x768/430602997.jpg?k=cdbc10baa4685a509175a3c3db20f620fa01054399a27b84019a1a63c183aca9&o=,登園大飯店,"Anping Road 10號, Sanxing Township, Yilan, Taiwan, 265 ","Conveniently situated in the Sanxing Township part of Yilan, this property puts you close to attractions and interesting dining options.","Car park,Free Wi-Fi in all rooms!,Front desk [24-hour],Luggage storage,Wi-Fi in public areas,Smoking area,Smoke-free property,First aid kit",Not available,7.0Very good,42,1442
